id,old_name,new_name,link
-1003489411758,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅲6️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+JRIzNNBM3ZBlN2Nh
-1003862083226,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅶1️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+Re8wQe_esqllMjlh
-1003860315215,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅶0️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+xsjDY5tVeoY5ZGEx
-1003744667437,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅵8️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+HeYeZ6NSZKQ2OTNh
-1003836119185,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅵9️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+ojY17qXiStlmNjkx
-1003841747304,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅶2️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+pl-ktDrNXnVkMjdh
-1003590744939,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅵6️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+ewvhG5nTDKkyZjk5
-1003842144510,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅵7️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+Q4oO3pkz0qliOTIx
-1003758148004,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅵5️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+LGTlI6TAZlpiZjYx
-1003793924260,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅴8️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+53djY7kjCws4MzUx
