id,old_name,new_name,link,status
-1003489411758,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ［#𝗔𝟬𝟭］ ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ［#𝗔𝟬𝟭］ ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,https://t.me/+1O3L7yQPaK1mYzc5,MUTADO
-1002940339337,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 00 ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ［#𝗔𝟬𝟮］ ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,https://t.me/+uzau8ugy-dE2Yjkx,MUTADO
-1001703477686,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅰️5️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ［#𝗔𝟬𝟯］ ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,https://t.me/+UhPVwwqH4os0NjY5,MUTADO
-1001469418142,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ［#𝗔𝟬𝟰］ ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,https://t.me/+qyqOB29dh7hlZGU0,MUTADO
-1002008732287,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅰️6️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ［#𝗔𝟬𝟱］ ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,https://t.me/+KXvpQjMy2gEzMTIx,MUTADO
-1001947328960,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅲1️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ［#𝗔𝟬𝟲］ ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,https://t.me/+7b34dQfkOIg4MzNh,MUTADO
-1003862083226,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅶1️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ［#𝗔𝟬𝟳］ ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,https://t.me/+dKgNAyV_VsxiZGQx,MUTADO
-1003860315215,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅶0️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ［#𝗔𝟬𝟴］ ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,https://t.me/+X5fH1OuRzbRhNzY5,MUTADO
-1003744667437,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅵8️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ［#𝗔𝟬𝟵］ ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,https://t.me/+pf4mGA7f6tBiMjYx,MUTADO
-1003836119185,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅵9️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ［#𝗔𝟭𝟬］ ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,https://t.me/+P-33GCX2vNYzY2Q5,MUTADO
